ORG_ID|NAME|ORG_NAME|POSITION|BIQ_PERSON_ID|GENDER
5000059|Regitze Reeh|Dansk Shell|directorship|7375681|Kvinde
5000059|Rene Holl Majgaard|Dansk Shell|directorship|17142949|Mand
5000157|Connie Astrup-Larsen|ØK|directorship|314352|Kvinde
5000157|Henning Kruse Stoltenberg Pedersen|ØK|Member of the board chairman|397094|Mand
5000157|Karl Mats Erik Lönnqvist|ØK|directorship|484932|Mand
5000157|Niels Henrik Jensen|ØK|Executive Post CEO|570017|Mand
5000157|Preben Sunke|ØK|directorship Vice|627185|Mand
5000700|Arne Vestergaard Ebbesen|El-Salg|Member of the board chairman|264374|Mand
5000700|Bruno Stenbæk Andersen|El-Salg|directorship Vice|295124|Mand
5000700|Dorte Nielsen|El-Salg|directorship|320209|Kvinde
5000700|Jørn Bechmann|El-Salg|directorship|474115|Mand
5000700|Preben Frank Nielsen|El-Salg|directorship|625376|Mand
5000700|Peter Rodh|El-Salg|directorship|1028363|Mand
5000700|Tomas Hedehus|El-Salg|Executive Post CEO|1423185|Mand
5000185|Arne Gerlyng-Hansen|Harald Nyborg|Executive Post CEO|262158|Mand
5000185|Erling Daell|Harald Nyborg|directorship|341969|Mand
5000185|Ib Schmidt Hansen|Harald Nyborg|directorship Vice|411527|Mand
5000185|Knud Hansen|Harald Nyborg|directorship|504502|Mand
5000185|Kurt Eduard Daell|Harald Nyborg|directorship Chairman|510371|Mand
5000185|Mogens Weel Krammer|Harald Nyborg|Executive Post|561493|Mand
5000185|Niels Bent Bastholm|Harald Nyborg|directorship|566813|Mand
5000185|Susan Gert Larsen|Harald Nyborg|directorship|649938|Kvinde
5000185|Henrik Mathiesen|Harald Nyborg|directorship|1023710|Mand
5000185|Ole Skovby Kirk|Harald Nyborg|directorship|1598723|Mand
5000185|Gert Sand|Harald Nyborg|Executive Post|17160246|Mand
5000824|Anne Birte Kjeldsen|Henry Kjeldsen|directorship|254363|Kvinde
5000824|Asta Johanne Kjeldsen|Henry Kjeldsen|directorship|265919|Kvinde
5000824|Inge Lise Kjeldsen Klastrup|Henry Kjeldsen|directorship|414227|Kvinde
5000824|Jens Lykke Kjeldsen|Henry Kjeldsen|Executive Post CEO|439028|Mand
5000824|Tove Poulsen|Henry Kjeldsen|directorship|683221|Kvinde
5000824|Kasper Lykke Kjeldsen|Henry Kjeldsen|directorship|7371970|Mand
5000635|Johannes Rosenkilde|Ikast Betonvarefabrik|Executive Post CEO|452466|Mand
5000635|Mogens Anker Rosenkilde|Ikast Betonvarefabrik|directorship|557546|Mand
5000635|Poul Erik Lundsgaard|Ikast Betonvarefabrik|Executive Post|618723|Mand
5000635|Preben Rosenkilde|Ikast Betonvarefabrik|Member of the board chairman|626947|Mand
5000911|Gregers Væver Jacobsen|Læsø Fiskeindustri|directorship Chairman|368077|Mand
5000911|Klaus Rosenfeldt Hansen|Læsø Fiskeindustri|directorship|501686|Mand
5000911|Ole Larsen|Læsø Fiskeindustri|directorship|583777|Mand
5000911|Søren Larsen|Læsø Fiskeindustri|Executive Post Managing Dir|662748|Mand
5000911|Erik Vinther Poulsen|Læsø Fiskeindustri|directorship|974818|Mand
5000911|Svend Ole Larsen|Læsø Fiskeindustri|Executive Post CFO|1133900|Mand
5000911|Joan Brink Olsen|Læsø Fiskeindustri|directorship|1313147|Kvinde
5000911|Hans Erik Thomsen|Læsø Fiskeindustri|directorship|1467626|Mand
5000794|Carsten Wandorf|Arnold Busck|Member of the board chairman|303533|Mand
5000794|Helle Charlotte Busck Fensvig|Arnold Busck|directorship Vice|392708|Kvinde
5000794|Jacob Monberg|Arnold Busck|directorship|421261|Mand
5000794|Jesper Brøckner Nielsen|Arnold Busck|directorship|444969|Mand
5000794|Jesper Toft Fensvig|Arnold Busck|Executive Post CEO|447178|Mand
5000794|Ole Arnold Busck|Arnold Busck|directorship|579289|Mand
5000794|Jens Joakim Kirk Werner|Arnold Busck|Executive Post|1590798|Mand
5000019|Peter Schaumburg-Müller|USTC (United Ship. & Trad.)|directorship|235760|Mand
5000019|Eric Frydenlund Michelsen|USTC (United Ship. & Trad.)|directorship|332644|Mand
5000019|Lars Bæk|USTC (United Ship. & Trad.)|directorship|514859|Mand
5000019|Michael Keldsen|USTC (United Ship. & Trad.)|Member of the board chairman|553433|Mand
5000019|Torben Janholt|USTC (United Ship. & Trad.)|directorship|679091|Mand
5000019|Torben Østergård Nielsen|USTC (United Ship. & Trad.)|Executive Post CEO|681538|Mand
5000942|Annette Bjerring Kristensen|Vestfrost|directorship|258134|Kvinde
5000942|Hans Christian Anderskouv|Vestfrost|directorship|377605|Mand
5000942|Jan Højbjerg Jensen|Vestfrost|directorship|425744|Mand
5000942|Jens Højsager Damgaard|Vestfrost|Executive Post CEO|437020|Mand
5000942|John Riis Andersen|Vestfrost|directorship Chairman|457823|Mand
5000942|Kristoffer Jarl Kristensen|Vestfrost|directorship|509553|Mand
5000942|Torben Bjerre-Madsen|Vestfrost|directorship|677642|Mand
5000942|Max Peter Christensen|Vestfrost|Directorship Employee representative|737205|Mand
5000942|Niels-Henrik Borch|Vestfrost|directorship|973284|Mand
5000942|Bjarne Kirkeby|Vestfrost|directorship|1758159|Mand
5000018|Jan Kjærsgaard|A2SEA A/S|directorship Vice|426281|Mand
5000018|Bent Christensen|A2SEA A/S|directorship|270756|Mand
5000018|Christina Grumstrup Sørensen|A2SEA A/S|Member of the board chairman|1763139|Kvinde
5000018|Wolfgang Dieter Hermann|A2SEA A/S|directorship|16991825|Mand
5000018|Ingrid Maria Jägering|A2SEA A/S|directorship|1837123|Kvinde
5000018|Jens Frederik Hansen|A2SEA A/S|Executive Post CEO|435955|Mand
5000018|John Michael Hannibal|A2SEA A/S|directorship|17198907|Mand
5000018|Morten Hultberg Buchgreitz|A2SEA A/S|directorship|1042020|Mand
5000202|Claus Madsen|ABB|Executive Post CEO|312707|Mand
5000202|Lena Maria Andersson|ABB|directorship|1868187|Kvinde
5000202|Trevor Gregory|ABB|Member of the board chairman|2005227|Mand
5000634|Robert Peter Thain|Abbott Laboratories|directorship|633888|Mand
5000634|Thomas Craig Freyman|Abbott Laboratories|Member of the board chairman|716200|Mand
5000634|Tom Schjødt|Abbott Laboratories|directorship|1686035|Mand
5000634|Christina Dyreborg Horan|Abbott Laboratories|Executive Post CEO|1814501|Kvinde
5000196|Arne Terp-Nielsen|Abena|Member of the board chairman|232047|Mand
5000196|Bjarne Debel Thomsen|Abena|Executive Post CFO|285752|Mand
5000196|Hanne Terp-Nielsen|Abena|directorship|376255|Kvinde
5000196|Preben Terp-Nielsen|Abena|Executive Post Managing Dir|627238|Mand
5000343|Carsten Sachmann|Accenture|directorship|303059|Mand
5000343|Philip Michael Anthony Wiig|Accenture|Executive Post|614688|Mand
5000343|Mats Peter Dexfalk|Accenture|Member of the board chairman|1782851|Mand
5000881|Puk Thomas|Actavis|Executive Post|627632|Kvinde
5000881|Björn Adalsteinsson|Actavis|directorship|1015635|Mand
5000881|Per Kjeldsholm|Actavis|directorship|1259576|Mand
5000881|Lars Peter Ramneborn|Actavis|Member of the board chairman|1913731|Mand
5000881|David Vrhovec|Actavis|directorship|10429702|Mand
5000388|Hans Ladekjær Jeppesen|Actona Company|directorship|383400|Mand
5000388|Hans Martin Juul Nielsen|Actona Company|directorship|383768|Mand
5000388|Ib Holm Mortensen|Actona Company|directorship|410647|Mand
5000388|Jens Bornstein|Actona Company|Executive Post|433501|Mand
5000388|Orla Dahl Jepsen|Actona Company|Member of the board chairman|588223|Mand
5000388|Torben Skov Villadsen|Actona Company|directorship|680794|Mand
5000388|Aksel Vesterbæk Lægsgaard|Actona Company|directorship|1321198|Mand
5000895|Stian Nygård|Adecco|directorship|1222131|Mand
5000895|Torben Sneve|Adecco|Executive Post|1793492|Mand
5000895|Martin Alonso Rotaeche|Adecco|directorship|17059956|Mand
5000324|Dan Krause Thomsen|Aegis Media|directorship|316051|Mand
5000324|Henrik Kofoed Jensen|Aegis Media|directorship|402879|Mand
5000324|Karoly Laszlo Nemeth|Aegis Media|directorship Chairman|485845|Mand
5000324|Lars Bo Jeppesen|Aegis Media|Executive Post CEO|514479|Mand
5000877|Tiina Helena Olenius|AGA|directorship Vice|672194|Kvinde
5000877|Klas Fredrik Stylander|AGA|Member of the board chairman|910435|Mand
5000877|Max Engelberth Bering|AGA|Executive Post|1958847|Mand
5000877|Torben Østergaard Eriksen|AGA|directorship|1959965|Mand
5000877|Kasper Rasmussen|AGA|directorship|1959966|Mand
5000846|Niels Simonsen|AGCO Danmark|directorship|574424|Mand
5000846|Frédéric Michel Devienne|AGCO Danmark|directorship|1772764|Mand
5000846|Roger Neil Batkin|AGCO Danmark|Executive Post CEO|16861367|Mand
5000846|Christian Devantier|AGCO Danmark|directorship|17093427|Mand
5000032|Asbjørn Børsting|AGRO SUPPLY A/S|Member of the board chairman|265122|Mand
5000032|Claus Ewers|AGRO SUPPLY A/S|directorship|311607|Mand
5000032|Lars Christensen|AGRO SUPPLY A/S|directorship|514961|Mand
5000032|Ole Christensen|AGRO SUPPLY A/S|directorship|580385|Mand
5000032|Torben Harring|AGRO SUPPLY A/S|directorship|1399248|Mand
5000032|Kaj Møller Hansen|AGRO SUPPLY A/S|Executive Post|479343|Mand
5000032|Sven Høgh Andersen|AGRO SUPPLY A/S|Executive Post CEO|653186|Mand
5001000|Hans Gunnar Haglund|Ahlsell Danmark|directorship|379952|Mand
5001000|Mogens Saaby Larsen|Ahlsell Danmark|Executive Post Managing Dir|560879|Mand
5001000|Ulf Goran Nasholm|Ahlsell Danmark|Member of the board chairman|685435|Mand
5001000|Margit Moos Christensen|Ahlsell Danmark|directorship|943623|Kvinde
5000365|Bo Benny Helge Zakrisson|Air Greenland|directorship|289726|Mand
5000365|Jens Wittrup Willumsen|Air Greenland|Member of the board chairman|443287|Mand
5000365|Claus Martin Motzfeldt|Air Greenland|directorship|1182408|Mand
5000365|Elisabeth Fisker|Air Greenland|directorship|1730297|Kvinde
5000365|Julia Jensigne Pars|Air Greenland|directorship|461736|Kvinde
5000365|Lars Jens Tybjerg|Air Greenland|directorship|517426|Mand
5000365|Leif Christian Rasmussen|Air Greenland|directorship|523808|Mand
5000365|Michael Binzer|Air Greenland|Executive Post CEO|551406|Mand
5000365|Niels Frederiksen|Air Greenland|directorship|1730298|Mand
5000841|Jørgen Ulrich Dahl|Air Liquide|directorship|473195|Mand
5000841|Markus Sieverding|Air Liquide|Member of the board chairman|1546722|Mand
5000841|Lars Arvid Strandberg|Air Liquide|directorship|1546723|Mand
5000841|Christian Kjærsgaard Tomsen|Air Liquide|Executive Post|1546724|Mand
5000841|Jean-Baptiste Ripart|Air Liquide|directorship|1737289|Mand
5000841|Maelys Castella|Air Liquide|directorship|1737290|Kvinde
5000841|Guy Salzgeber|Air Liquide|directorship|1846717|Mand
5000841|Birgitte Forsberg Christensen Finne-Larsson|Air Liquide|directorship|1889849|Kvinde
5000841|Andrew Joseph Reynolds|Air Liquide|Executive Post CFO|7387082|Mand
5000252|Harald Børsting|Arbejdernes Landsbank|directorship|387982|Mand
5000252|John Markussen|Arbejdernes Landsbank|Member of the board elected by employees|456654|Mand
5000252|Johny Bent Skovengaard|Arbejdernes Landsbank|directorship|459935|Mand
5000252|Mette Pia Kindberg|Arbejdernes Landsbank|directorship|550585|Kvinde
5000252|Ole Dam Wehlast|Arbejdernes Landsbank|directorship|580691|Mand
5000252|Poul Erik Skov Christensen|Arbejdernes Landsbank|Member of the board chairman|619175|Mand
5000252|Thorkild Engell Jensen|Arbejdernes Landsbank|directorship|671411|Mand
5000252|Ulla Strøm Nordenhof|Arbejdernes Landsbank|Member of the board elected by employees|686966|Kvinde
5000252|Lars Andersen|Arbejdernes Landsbank|directorship|930101|Mand
5000252|Jette Vestergaard Laursen Kronborg|Arbejdernes Landsbank|Member of the board elected by employees|944714|Kvinde
5000252|Gert Rinaldo Jonassen|Arbejdernes Landsbank|Executive Post CEO|1073630|Mand
5000252|Jan Walther Andersen|Arbejdernes Landsbank|Executive Post|1400248|Mand
5000252|Henrik Thagaard|Arbejdernes Landsbank|directorship|1753882|Mand
5000080|Agnete Raaschou-Nielsen|Schouw & Co.|directorship|240525|Kvinde
5000080|Erling Hessellund Eskildsen|Schouw & Co.|directorship|342240|Mand
5000080|Erling Sørensen Lindahl|Schouw & Co.|directorship|343148|Mand
5000080|Jens Bjerg Sørensen|Schouw & Co.|Executive Post Managing Dir|433359|Mand
5000080|Jørgen Dencker Wisborg|Schouw & Co.|directorship|465605|Mand
5000080|Jørn Ankær Thomsen|Schouw & Co.|directorship Chairman|474049|Mand
5000080|Kjeld Johannesen|Schouw & Co.|directorship|499067|Mand
5000080|Niels Kristian Agner|Schouw & Co.|directorship|571848|Mand
5000080|Peter Kjær|Schouw & Co.|Executive Post|609633|Mand
5000880|Anker Laden-Andersen|Sæby Fiske-Industri|directorship|252228|Mand
5000880|Christian Vanggaard|Sæby Fiske-Industri|directorship|309227|Mand
5000880|Leif Stiholt|Sæby Fiske-Industri|directorship|318652|Mand
5000880|Hans Jørgen Kaptain|Sæby Fiske-Industri|Member of the board chairman|382116|Mand
5000880|Kurt Kiil|Sæby Fiske-Industri|directorship|511392|Mand
5000880|Sara Brämer|Sæby Fiske-Industri|directorship|1735048|Kvinde
5000880|Henrik Mikkelsen|Sæby Fiske-Industri|Executive Post CEO|17160027|Mand
5000242|Jette Lillian Frederiksen|Magasin du Nord|Member of the board elected by employees|448434|Kvinde
5000242|Paul Rex Eardley|Magasin du Nord|directorship|1832125|Mand
5000242|Peter Fabricius|Magasin du Nord|Executive Post CFO|1832679|Mand
5000242|Aoife Mary Blicher|Magasin du Nord|directorship|1910292|Kvinde
5000242|Simon Edward Herrick, AA|Magasin du Nord|directorship Vice|17079187|Mand
5000242|Francis John McAuley|Magasin du Nord|Executive Post CEO|17104686|Mand
5000242|Michael John Goring|Magasin du Nord|Member of the board chairman|17137287|Mand
5000242|Peter King|Magasin du Nord|Executive Post|17137288|Mand
5000960|Bengt Knud Arne Henriksen|Akzo Nobel Deco|directorship|232102|Mand
5000960|Hanne Rachlew Petersen|Akzo Nobel Deco|Directorship Employee representative|1251756|Kvinde
5000960|Per Mattsson|Akzo Nobel Deco|Executive Post CEO|1317395|Mand
5000960|Johnny Andersen|Akzo Nobel Deco|directorship Vice|1732656|Mand
5000960|Michael Dak Bentzen|Akzo Nobel Deco|Directorship Employee representative|1741265|Mand
5000960|Nils Olof Patrik Olsson|Akzo Nobel Deco|Member of the board chairman|17121567|Mand
5000830|Ole Cleemann|Akzo Nobel Salt|Executive Post|580617|Mand
5000830|Martin Duch Søndergaard|Akzo Nobel Salt|directorship|1034938|Mand
5000830|John Schelhaas|Akzo Nobel Salt|directorship|1195576|Mand
5000830|Johan Gerard Visser|Akzo Nobel Salt|Executive Post CEO|1651969|Mand
5000830|Michiel Arnold Hoogendijk|Akzo Nobel Salt|Member of the board chairman|1716423|Mand
5000793|Flemming Ammentorp Østergaard|Albatros Travel|directorship|351602|Mand
5000793|Ole Bødtcher-Hansen|Albatros Travel|Member of the board chairman|580254|Mand
5000793|Søren Rasmussen|Albatros Travel|Member of the board chairman|664186|Mand
5000793|Ariel Zlotnik|Albatros Travel|Executive Post CEO|1458249|Binominal
5000793|Jørgen Glenn Andersen|Albatros Travel|Executive Post CFO|17073005|Mand
5000305|Tim Torben Albertsen|ALD Automotive|Member of the board chairman|672603|Mand
5000305|Michael John Masterson|ALD Automotive|directorship|983815|Mand
5000305|Pascal Serres|ALD Automotive|directorship|983817|Mand
5000305|Jaques Andre Jean Bensen|ALD Automotive|directorship|1781863|Mand
5000305|Michel Bernard Colbert|ALD Automotive|Executive Post CEO|1788698|Mand
5000161|Jan Lund|Aldi Holding|Executive Post CEO|1366814|Mand
5000716|Anna Anja Monrad|Alectia|directorship|252783|Kvinde
5000716|Erik Hovgaard|Alectia|Member of the board chairman|336221|Mand
5000716|Jens Winther Moberg|Alectia|Executive Post CEO|443274|Mand
5000716|Jesper Mailind|Alectia|directorship Vice|446276|Mand
5000716|Ulla Olsen Børsting|Alectia|directorship|686766|Kvinde
5000716|Hans Peter Jensen|Alectia|directorship|1148928|Mand
5000716|Peter Anders Breum|Alectia|directorship|7360391|Mand
5000716|Pernille Vedsted|Alectia|directorship|7360392|Kvinde
5000803|Carl Erik Skovgaard Sørensen|Alex Andersen Ølund|directorship|240173|Mand
5000803|Alex Villy Andersen|Alex Andersen Ølund|Executive Post CEO|242492|Mand
5000803|Elin Aase Andersen|Alex Andersen Ølund|Executive Post|327305|Kvinde
5000803|Ib Jørgen Andersen|Alex Andersen Ølund|Executive Post|410806|Mand
5000803|Jan Rene Andersen|Alex Andersen Ølund|directorship|428269|Mand
5000803|Per John Nielsen|Alex Andersen Ølund|directorship|600363|Mand
5000803|Tommy Andersen|Alex Andersen Ølund|directorship|675402|Mand
5000204|Michael Jensen|Alfa Laval Danmark|directorship|1196029|Mand
5000204|Ib Elgaard Rasmussen|Alfa Laval Danmark|directorship|1196030|Mand
5000204|Ole Rudbeck Petersen|Alfa Laval Danmark|Executive Post CEO|1198144|Mand
5000204|Åsa Ingrid Susanne Pahlén-Åklundh|Alfa Laval Danmark|directorship|1671987|Kvinde
5000204|Peter Cyriel Mariette Jaques Bailliere|Alfa Laval Danmark|Member of the board chairman|1868074|Mand
5000198|Aage Rank|Alfa Laval Aalborg|directorship|238561|Mand
5000198|Jan Vestergaard Olsen|Alfa Laval Aalborg|Executive Post CEO|429420|Mand
5000198|Jørn Olsen|Alfa Laval Aalborg|directorship|475749|Mand
5000198|Søren Hjorth Krarup|Alfa Laval Aalborg|Executive Post CEO|1216547|Mand
5000198|Thure Bo Thomas Thuresson|Alfa Laval Aalborg|directorship|1469527|Mand
5000198|Lars Sture Renström|Alfa Laval Aalborg|Member of the board chairman|7359951|Mand
5000198|Åsa Ingrid Susanne Pahlen Åklundh|Alfa Laval Aalborg|directorship|7359952|Kvinde
5000198|Jan Møller Christiansen|Alfa Laval Aalborg|directorship|7385434|Mand
5000198|Jacob Fog|Alfa Laval Aalborg|directorship|7385435|Mand
5000220|Anders Gersel Pedersen|ALK|directorship|247210|Mand
5000220|Flemming Pedersen|ALK|Executive Post|354608|Mand
5000220|Jens Bager|ALK|Executive Post Managing Dir|433085|Mand
5000220|Jes Christian Wibroe Østergaard|ALK|directorship|444249|Mand
5000220|Steen Riisgaard|ALK|Member of the board chairman|644099|Mand
5000220|Thorleif Krarup|ALK|directorship|671812|Mand
5000220|Flemming Steen Jensen|ALK|Executive Post|1002554|Mand
5000220|Jesper Fromberg Nielsen|ALK|directorship|1027127|Mand
5000220|Peter Adler Würtzen|ALK|directorship|1027128|Mand
5000220|Henrik Jacobi|ALK|Executive Post|1027129|Mand
5000220|Christian Peter Dyvig|ALK|directorship Vice|1117822|Mand
5000220|Lars Simonsen|ALK|directorship|1434186|Mand
5000220|Lars Erik Holmqvist|ALK|directorship|1694559|Mand
5001003|Allan Kim Hansen|Allan Hansen|directorship|244914|Mand
5001003|Sandra Birgitte Hansen|Allan Hansen|directorship|637834|Kvinde
5001003|Uffe Bruhn Hansen|Allan Hansen|directorship|684789|Mand
5000829|Hans Erik Bylling|Aller Aqua Group|Executive Director Post|379058|Mand
5000829|Ivan Bundgård Sørensen|Aller Aqua Group|directorship|419551|Mand
5000829|Ole Møller Hansen|Aller Aqua Group|directorship|584583|Mand
5000829|Carsten Jørgensen|Aller Aqua Group|Executive Post|1048453|Mand
5000155|Bettina Charlotte Aller|Aller|Executive Post|278998|Kvinde
5000155|Claes Henrik Aller|Aller|directorship|310317|Mand
5000155|Erik Aller|Aller|Executive Post|333048|Mand
5000155|Katinka Pernille Aller|Aller|Executive Post|487830|Kvinde
5000155|Richard Rudolf Sand|Aller|Member of the board chairman|631588|Mand
5000155|Susanne Aller|Aller|directorship Vice|650139|Kvinde
5000155|Bodil Margaretha Hjerrild|Aller|Directorship Employee representative|1696987|Kvinde
5000155|Morten Mejnecke|Aller|Directorship Employee representative|1703479|Mand
5000155|Gitte Mainsley|Aller|directorship|1965481|Kvinde
5000778|Derrick Miller|Allianceplus|Member of the board chairman|318068|Mand
5000778|John Staunsbjerg Dueholm|Allianceplus|directorship|369630|Mand
5000778|Henrik Axel Juul Nordenlund|Allianceplus|Executive Post CEO|399999|Mand
5000778|Henrik Helmer Fabricius|Allianceplus|directorship|401936|Mand
5000778|Henrik Bonnerup|Allianceplus|Member of the board chairman|1097725|Mand
5000098|Arne Svend Nielsen|Alm. Brand|directorship|264157|Mand
5000098|Boris Nørgaard Kjeldsen|Alm. Brand|directorship Vice|292589|Mand
5000098|Jan Skytte Pedersen|Alm. Brand|directorship|428678|Mand
5000098|Jørgen Henrik Christensen|Alm. Brand|directorship|467518|Mand
5000098|Jørgen Hesselbjerg Mikkelsen|Alm. Brand|Member of the board chairman|467639|Mand
5000098|Per Viggo Hasling Frandsen|Alm. Brand|directorship|603883|Mand
5000098|Søren Boe Mortensen|Alm. Brand|Executive Post CEO|659769|Mand
5000098|Henning Kaffka|Alm. Brand|directorship|1291881|Mand
5000098|Susanne Maj Vendrup Larsen|Alm. Brand|Directorship Employee representative|1291882|Kvinde
5000098|Per Dahlbom|Alm. Brand|directorship|1736771|Mand
5000098|Helle Laasby Frederiksen|Alm. Brand|directorship|1865688|Kvinde
5000691|Bjarke Sanbeck Nilsson|Alpha Holding|directorship|285161|Mand
5000691|Jens Erik Jepsen Christensen|Alpha Holding|Member of the board chairman|435402|Mand
5000691|Leif Corinth-Hansen|Alpha Holding|directorship|523841|Mand
5000691|Tonny Anker-Svendsen|Alpha Holding|directorship|945474|Mand
5000691|Thomas Fredslund-Andersen|Alpha Holding|directorship|949916|Mand
5000691|Bo Lundqvist|Alpha Holding|directorship|1064254|Mand
5000691|Morten Helge|Alpha Holding|Executive Post|1197171|Mand
5000109|Klaus Hellmich|Actebis Computer|Member of the board chairman|500900|Mand
5000109|Torben Qvist Rasmussen|Actebis Computer|directorship|680443|Mand
5000109|Ralf Retzko|Actebis Computer|directorship Vice|1013689|Mand
